customer_id,age,gender,month,visits,avg_session_time,pages_viewed,purchases,avg_purchase_value,monthly_spent,is_churned
1,56,Female,2024-01,9,7.43,18,0,52.13,0.0,0
1,56,Female,2024-02,6,6.42,9,0,64.35,0.0,0
1,56,Female,2024-03,10,2.79,21,4,17.71,70.83,1
1,56,Female,2024-04,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-05,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-06,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-07,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-08,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-09,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-10,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-11,0,0.0,0,0,0.0,0.0,1
1,56,Female,2024-12,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-01,9,5.53,22,0,54.83,0.0,1
2,69,Male,2024-02,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-03,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-04,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-05,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-06,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-07,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-08,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-09,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-10,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-11,0,0.0,0,0,0.0,0.0,1
2,69,Male,2024-12,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-01,11,4.95,23,1,62.27,62.27,0
3,46,Male,2024-02,6,6.02,11,2,50.81,101.62,1
3,46,Male,2024-03,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-04,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-05,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-06,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-07,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-08,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-09,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-10,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-11,0,0.0,0,0,0.0,0.0,1
3,46,Male,2024-12,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-01,7,3.07,7,1,56.26,56.26,0
4,32,Male,2024-02,6,3.77,14,4,45.46,181.85,0
4,32,Male,2024-03,10,2.27,18,3,46.63,139.89,0
4,32,Male,2024-04,10,6.73,14,1,38.05,38.05,1
4,32,Male,2024-05,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-06,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-07,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-08,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-09,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-10,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-11,0,0.0,0,0,0.0,0.0,1
4,32,Male,2024-12,0,0.0,0,0,0.0,0.0,1
5,60,Male,2024-01,18,5.24,35,0,35.4,0.0,0
5,60,Male,2024-02,6,4.65,11,5,75.68,378.38,0
5,60,Male,2024-03,9,4.82,20,3,63.82,191.46,0
5,60,Male,2024-04,6,9.03,3,1,52.05,52.05,1
5,60,Male,2024-05,0,0.0,0,0,0.0,0.0,1
5,60,Male,2024-06,0,0.0,0,0,0.0,0.0,1
5,60,Male,2024-07,0,0.0,0,0,0.0,0.0,1
